Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Age,python_yn,sql_yn,tableau_yn,spark_yn,aws_yn,excel_yn,job_simp,seniority,desc_len
Junior Data Scientist,"ABOUT YOURSELF
You are a data-driven problem solver.
You are passionate about turning data into actionable insights.
You are passionate about how AI can transform the business in finance and banking.
You have an innovative and research mindset.
You love to read research papers about business and AI.
You are not afraid of mathematical theories, concepts, and equations.
RESPONSIBILITIES
Gather, process, and analyse historical data to find patterns and trends.
Transform data into insights and business decisions using artificial intelligence (AI) and statistical analysis.
Build reports and dashboards to present results and findings.
Design and develop data warehouse and pipeline.
Assist seniors to carry out research and development (R&D) on the new AI use cases, initiatives, and technologies in finance and banking.
Assist engineers to enhance and maintain JurisTech’s proprietary AI products.
REQUIREMENTS
Bachelor’s degree in quantitative field (Actuarial Science, Statistics, Mathematics, Computer Science, etc).
Fresh graduates are welcome to apply but work experience is a plus.
Experience in statistical programming using Python, R, and/or Matlab is required.
Proficiency in SQL knowledge.
Ability to quickly pick up new technologies and algorithms.
Possess an innovative and research mindset.
Knowledge and hands-on experience in machine learning will be an added advantage.
Knowledge in finance and banking will be an added advantage.
Interested applicants may fill in the form below to apply or email your résumés and transcripts to hr@juristech.net.
Position*
---Marketing SpecialistJunior Data ScientistHead of Commercial (iMoney)Sales Account ManagerSenior Software EngineerJunior Software EngineerProfessional Services Engineer (Business Analyst)Japanese Interpreter-cum-Systems AnalystInternship(position not listed)


If not listed, tell us your desired role.*

Full Name*

Email Address*

Phone Number*

Upload Your Résumé (doc/docx/jpg/pdf/rtf/txt; must not exceed 3MB)*

Upload Your Transcript (doc/docx/jpg/pdf/rtf/txt; must not exceed 3MB)*

Briefly describe why you want to join us and why you're the right fit.

1500",2.9,Juris Technologies,Kuala Lumpur,51 to 200 Employees,1997,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),23,1,1,0,0,0,0,data scientist,jr,2188
"Associate - Data & Analytics, Technology Consulting","EY DnA is the
data and advanced analytics capability within EY Asia-Pacific, with over 500
specialist employees working across multiple industry sectors.

We implement information-driven
strategies and systems that help grow, optimize and protect client
organizations. We go beyond strategy and provide end to end implementation of
real life data environments and have some of the best architects, project
managers, business analysts, data scientists, big data engineers, developers
and consultants in the region.

The
opportunity

You
will be working with our high-profile clients across both the government and
private sectors, you’ll have the opportunity to affect meaningful, impactful
change for Malaysia and Malaysians.
We’re building a core team of practitioners - with skills ranging from
data architecture, information management, analytics, data science, software
engineering, devops, to Agile delivery (and much more) - to shape the future of
EY’s DnA capability in Malaysia and, with it, to redefine the role that data
and analytics will play in solving real problems that effect everyday Malaysians.

Your key
responsibilities
Work
with diverse stakeholders to identify their challenges with data that can be
addressed using various Analysis techniques.
Be
a part of a culture that focuses on delivering excellence for our clients and
work with an awesome team of people with
access to cutting edge technologies.
Flexibility
to work in the way that brings out the best in you and encourages you to do
what you love, in an environment that supports you.
Be
involved in all aspects of the Project life-cycle, including Strategy,
Road-Mapping, Architecture, Implementation and Development, to gain maximum
exposure and set you up for a successful consulting career.
To qualify for the role you
must have
At
least 1 years’ experience as within the data and analytics domain
Experience
working in any of the following roles :
Data Engineer
Data Scientist
Data Visualisation Analyst
Data Insights Analyst
Big Data Analyst
Project
delivery toolset experience inany of the following:
ETL tools (such as Informatica,
Microsoft SSIS or Talend) or open source data integration tools (such as Kafka
or Nifi)
Data Visualisation tools (Power BI,
Tableau or Qlikview)
Data Analysis (Python, R)
You
will need to have intermediate SQL skills
Knowledge
and exposure in end-to-end project delivery, either traditional SDLC or agile
delivery methodologies (or hybrid approaches)
Exceptional
communication, documentation and presentation skills
Degree
in Computer Science or IT or Business Analytics

Ideally, you’ll also
have
Experience
in engaging with both technical and non-technical stakeholders
Consulting
experience and background, including engaging directly with clients
Experience
in a delivery role on Business Intelligence, Data Warehousing, Big Data or
analytics projects
What
we look for

Highly motivated individuals with excellent
problem-solving skills and the ability to prioritize shifting workloads in a
rapidly changing industry. An effective communicator, you’ll be a confident team
player equipped with strong people management skills and a genuine passion to
make things happen in a dynamic organization. If you’re ready to take on a wide
range of responsibilities, and are committed to seeking out new ways to make a
difference, this role is for you.

What
working at EY offers

EY offers a competitive remuneration package
commensurate with your work experience, where you will be rewarded for your
individual and team performance. We are committed to being an inclusive
employer and are happy to consider flexible working arrangements (FWA), as
needed, guided by our FWA Policy. Plus, we offer:
Support, coaching and feedback
from engaging colleagues
Opportunities to develop new
skills and progress your career
The freedom and flexibility to
handle your role in a way that is right for you
About
EY

As a global leader in assurance, tax, strategy
and transaction and consulting services, we hire and develop the most
passionate people in their field to help build a better working world. This
starts with a culture that believes in giving you the training, opportunities
and creative freedom to make things better. So that whenever you join, however
long you stay, the exceptional EY experience lasts a lifetime.

If you
can confidently demonstrate that you meet the criteria above, please contact us
as soon as possible.

Join
us in building a better working world.

Apply
now",3.8,EY,Kuala Lumpur,10000+ Employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),31,1,1,1,0,0,1,na,na,4618
"Scientist 1, Data Science","SCIENTIST 1, DATA SCIENCE

Petaling Jaya, Selangor, Malaysia

Analytics Ops & Data Systems (KL)

WESTERN DIGITAL TECH AND REGIONAL CENTER (M) SDN. BHD

Requisition #: JR-0000058694

Western Digital®

The next big thing in data is you!

ESSENTIAL DUTIES AND RESPONSIBILITIES:
Design AR assets, coding, enhancing the User Interface and User Experience for end user, along with providing support and ongoing maintenance.
Create custom AR (Augmented Reality) experiences for enterprise use cases and setup virtual environments for a wide range of AR scenarios.
Research and develop scalable computer vision and machine learning solutions for complex problems.
Collaborate in cross-functional teams to integrate image analytics algorithms and software, as well as develop system prototypes.
Develop and deploy supply chain optimization systems into manufacturing environment using OR (Operation Research) and discrete event simulation.
Leverage data mining techniques in mathematics, statistics, information technology, machine learning, deep learning, data engineering, visualization etc to discover insightful patterns.
Analyze large-scale structured and unstructured data; develop deep-dive analysis and machine learning / AI models into application or integrate with any pre-existing systems; demonstrate successful use cases and wins to drive business value.
Constantly learn new front tier technology and creatively apply/deliver solutions to manufacturing operations to meet KPIs.
Qualifications

REQUIRED:
Masters or Bachelors Degree in Computer science, data science, computer engineering, information technology, or relevant work experience and education background.
Minimum 1 - 2 years of relevant working experience.
We will also consider applicants with the equivalent combination of education, technical expertise, training, or work experience.
Required: Python, Tensorflow framework, Augmented Reality, Computer Vision.
PREFERENCE
Optional: Chatbot (added advantage) with NLP, NLU.
SKILL:
Familiar with some of the following Statistical Analysis and Modelling Tools: JMP, Minitab, SPSS, Enterprise Miner, Enterprise Guide, SAS coding.
Practical experience in application of ML and Deep Learning algorithms.
SQL, Relational databases, Big Data platforms, AWS Redshift etc.
Some experience with web front end development: HTML/CSS, JavaScript, (JQuery or Angular preferred).
Ability to learn quickly and become productive on new technologies, APIs, development languages and frameworks.
Experience in data mining, data wrangling and handling JSON, CSV files.
Hands on experience with Docker, Kubernetes etc.
ABOUT WESTERN DIGITAL

The future. It’s on you. You & Western Digital.

We’ve been storing the world’s data for more than 50 years. Once, it was the most important thing we could do for data. Now we’re helping the world capture, preserve, access and transform data in a way only we can.

The most game-changing companies, consumers, professionals, and governments come to us for the technologies and solutions they need to capture, preserve, access, and transform their data.

But we can’t do it alone. Today’s exceptional data challenges require your exceptional skills. It’s You & Us. Together, we’re the next big thing in data.

Western Digital® data-centric solutions are found under the G-Technology™, HGST, SanDisk®, Tegile™, Upthere™, and WD® brands.

#LI-RL1",3.5,Western Digital,Petaling Jaya,10000+ Employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),50,1,1,0,0,1,0,na,na,3434
Data Scientist,"About You

RinggitPlus is looking for a data leader to transform the way Malaysians find, apply and purchase financial products!

Join Malaysia’s most prominent fintech company as the lead Data Scientist, you will apply data science methods to our (large) internal and external data sets to capture meaningful trends in digital marketing, credit decisioning, wealth and insurance, and use those trends to push insights and build models which will sit at the core of our business and technology stack, all with the simple goal to help make money simple for Malaysians.

As the team lead, you will also be given the opportunity to hire, train, mentor and grow the Data Science team to reach their potential.

Responsibilities
Requirements gathering – Communicate frequently with members of different departments to identify business issues (large and small), formulate hypotheses on how to use data to make processes more efficient, solve problems or improve economics
Research and Testing – Identify issues, build probabilistic models to predict outcomes based on historical data, or use statistical data analysis and technologies to drive decision making
Implementation, reporting & refinement – Implement algorithms and models into business and tech stack where applicable, and identify, monitor, report on and measure the quality of model deployments and business processes over time
Stakeholder Management – data impacts several departments and thus any data-driven change needs to be communicated and tied back to business objectives to align stakeholders
Hiring, training & Mentoring – lead and grow a kickass data science team


Requirements
3+ years of experience in similar data science roles, with a minimum of 1+ in a supervisory role
PhD or Masters in Mathematics, Applied Statistics, Actuarial Science, Computer Science, or any other related computational/quantitative discipline
Deep knowledge of linear and non-linear regression modelling, model validation signals analysis, time series analyses
Industry familiarity with credit models, customer lifecycle and value maximization models, machine learning algorithms and NLP a plus
Advanced SQL expertise, ability to write complex queries spanning over multiple databases and foreign keys, based on a simple high-level brief
Working knowledge and comfort with English, R, Python, Matlab, Tableau, and/or any other relevant statistical modelling, visualization, large dataset handling languages
Excellent communication and presentation skills, able to clearly and effectively communicate complex analytical and technical content
Problem hunter (and solver of course), looking for issues which can be solved with data by analyzing root causes, developing hypotheses and testing regularly to prove mitigation or resolution
Experience in hiring, training and mentoring a data science team to maximise the team’s potential to deliver the business objectives
Apply by sending your resume and cover letter to:
work@ringgitplus.com",4.0,RinggitPlus.com,Kuala Lumpur,51 to 200 Employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,7,1,1,1,0,0,1,data scientist,na,3012
Data Scientist,"Location: Kuala Lumpur.

Client's Profile:
Is the largest Brand Activation Agency in Malaysia which founded for more than 20 years.
Working Days: 5

Attractive Benefits Included:
Fixed Basic
Allowances
Insurance Coverage
Medical Benefits
Interested candidates, kindly REGISTER your Job Seeker Profile with CareerMaster & APPLY NOW!

Shortlisted candidates will be notified.
JOB RESPONSIBILITIES: *
Demonstrable experience in formulating and solving business problems using mathematical/statistical constructs in order to derive insight into systems.
Analyze raw data: assessing quality, cleansing, structuring for downstream processing.
Focus on image/video analytics projects by applying techniques in machine learning, deep learning, and statistical algorithms
Develop processes and tools to monitor and analyse model performance and data accuracy
JOB REQUIREMENTS: *
Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.).
At least 3 years' of experience in quantitative analytics or data modelling.
Deep understanding of statistical modelling, predictive modelling, machine-learning, clustering and classification techniques, and algorithms.
Experience in custom vision analytic by using Microsoft Azure, Google Vision, Amazon Recognition or etc is added advantage
Fluency in a programming language (R, Python, SQL) is added advantage
Job Type: Full-time

Salary: RM8,000.00 - RM10,000.00 per month

Experience:
Image/Video Analytics: 3 years (Required)
SQL: 1 year (Required)
R Languages: 1 year (Required)
Python: 1 year (Required)
data analysis: 3 years (Required)",5.0,CareerMaster Sdn Bhd,Kuala Lumpur,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,1,1,0,0,0,0,data scientist,na,1678
Data Scientist,"Data Scientist

by
Capital Dynamics Sdn Bhd

, WIL PER K.LUMPUR

Full Time

RM

11/08/20-31/12/20

Processing Time: 3 day

Computer/Information Technology

Overview


About Capital Dynamics
Capital Dynamics is the first Asian-owned global fund manager and investment adviser operating in Kuala Lumpur, Singapore, Sydney, Hong Kong and Shanghai. Our rapid expansion comes with an increasing reliance on information technology whilst adapting to ever-changing business needs. We have a start-up culture that is flat and accessible, we have a dress down policy, and we allow our employees to take naps whenever they need to.

As a “start-up” MNC, we seek talents that are self-motivated with a belief that success is a fruit of immense hard work and passionate heart work. We regard success as a journey that should be cultivating, eye-opening, and fun.

For applicants committed to succeeding in their careers, Capital Dynamics offers an unconventional 3-level remuneration package, including mentoring benefits under our renowned founder and CEO.

For more information about us, go to our website www.capitaldynamics.biz or our Facebook www.facebook.com/capitaldynamics.icapital or our LinkedIn https://www.linkedin.com/company/capital-dynamics-group/

Please send your job application to: careers@icapital.biz

Responsibility",4.3,Universiti Teknologi Malaysia,Kuala Lumpur,1001 to 5000 Employees,-1,College / University,Colleges & Universities,Education,Less than $1 million (USD),-1,0,0,0,0,0,0,data scientist,na,1356
Data Scientist,"Work With Stakeholders Throughout The Organization To Identify Opportunities For Leveraging Company Data To Drive Business Solutions.
Mine And Analyse Data From Company Databases To Drive Optimization And Improvement Of Product Development, Marketing Techniques And Business Strategies.
Assess The Effectiveness And Accuracy Of New Data Sources And Data Gathering Techniques.
Develop Custom Data Models And Algorithms To Apply To Data Sets.
Kuala Lumpur",5.0,PLUS SOLAR SYSTEMS SDN BHD,Kuala Lumpur,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,0,0,0,0,data scientist,na,457
Data Scientist,"ExxonMobil is one of the largest publicly traded international energy company, and an industry leader in the petrochemical business. We operate facilities and market products in most countries and explore for oil and natural gas in virtually every region in the world.

In Malaysia, we are involved in significant oil and gas production operations and the marketing of chemical products. We also host a global business and technology center in Kuala Lumpur that provides high-level information technology and engineering expertise to ExxonMobil’s upstream, downstream and chemical businesses worldwide.
Position title What you will be doing What you should have
Data Scientist
Apply various data science technologies (statistical analysis, machine learning, pattern recognition and data visualization) along with domain knowledge and subject-specific models to solve scientific, engineering, manufacturing and commercial problems.
Develop, deploy and sustain applications in the downstream business using advanced quantitative methods, including contribute to the various stages of data analytics or decision model development and deployment.
A Bachelor of Science degree or equivalent or higher in a relevant discipline (such as Data Science, Statistics, Engineering, Computer Science, Operations Research, Maths or other Science disciplines).
Proficiency in advanced mathematical modelling with programming skills (such as Python) and knowledge of numerical methods for linear algebra and optimization hypothesis testing, regression, time series analysis, Monte Carlo simulation, clustering and classification.

Please be informed that only shortlisted candidates will be notified, and you can find out more about our hiring process here.

We thank you for your interest in ExxonMobil.

Follow us on social media:
Facebook: exxonmobilmalaysiajobs
Twitter: exxonmobiljobs
Instagram: exxonmobil_careers.my",3.2,ExxonMobil,Kuala Lumpur,10000+ Employees,1870,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD),150,1,0,0,0,0,0,data scientist,na,1922
DATA SCIENTIST II,"DATA SCIENTIST II

Date: 27-Sep-2020

Location: Kuala Lumpur, MY

Company: Celcom Axiata Berhad

Job Description

JOB PURPOSE

Create and implement various statistical models, analysis, ad-hoc reporting and dashboard creation to address business requirements

ACCOUNTABILITIES /KEY RESPONSIBILITIES

Analyze and deliver basic demographic and usage analysis with short span of time to answer key questions raised by business
Create automated anomaly detection on systems and data marts and constant tracking on performance
Create and execute dashboards by using key KPIs identified from analysis to enable business to monitor business performance
Lead and manage a small technical project team to solve the data discrepancy problem when required to achieve good data accuracy
Produce and deliver full-stack scalable data analytics by incorporating data science and advance analytics
Plan, develop and deliver machine learning models using advance statistical methods
Prepare slides and delivers presentations to articulate findings of advance analysis and models to management and necessary stakeholders
Monitor and provide on-going tracking and monitoring performance of deployed statistical models to ensure consistency

QUALIFICATIONS, EXPERIENCE & SKILLS/COMPETENCIES

QUALIFICATIONS:

BA/BS degree engineering, statistics, computer science or related field

EXPERIENCE:

5 or more years’ experience of relevant quantitative and qualitative research and analytics and machine learning

TECHNICAL & BEHAVIOURAL COMPETENCIES/ SKILLS

TECHNICAL & BEHAVIOURAL COMPETENCIES/ SKILLS:

Knowledge of telecommunication industry with knowledge of business/functional areas is preferred
Good applied statistical skills such as distribution, statistical testing, regression, etc
Intermediate knowledge SQL, Python, R, Spark R or equivalent
Fair knowledge of Big Data analysis and management with Apache tools such as Cloudera, Zookeeper, Pig, Hive, HBase, Solr etc
Experience with machine learning algorithms and classifiers such as k-NN, Naive Bayes, SVM, Random Forest, Linear Regression, ARIMA, Neural Nets, Deep learning, etc.
Fair knowledge of data management and maintenance through tools such as Data warehousing solutions, ETL, SAP Data Management, SSIS, Cloud technologies etc
Good communication skills",4.1,Celcom Axiata Berhad,Kuala Lumpur,1001 to 5000 Employees,-1,Company - Private,Telecommunications Services,Telecommunications,$5 to $10 million (USD),-1,1,1,0,1,0,0,data scientist,na,2347
Head of Data Analytics (Business Intelligence/Data Scientist/Big Data),"Do you love food and convenience put together? Then you will definitely love foodpanda!

foodpanda (small 'f') is the world's favourite way to order food online from the comfort of your home or office. Whether it's getting your hands on your favourite pasta, kebab or pizza, we believe that no one should have to suffer from hunger attacks ever again.

However this doesn't happen without some really awesome people. We are looking for a Head of Data Analytics (Business Intelligence/Data Science/Big Data) to join our growing team here in Malaysia.

Anytime a company needs to make important decisions, the Business Intelligence (BI) department is there to form the rationale behind it. These professionals work with various teams within the company to establish priorities and manage expectations with regards to the collection, review and deployment of data, as well as provide projected impacts to the roll-out of business plans. Most BI experts have experience working with database and statistical/visual tools, and require strong agility to understand the business 360 degrees.

Performance Reporting and Analysis
Lead the analysis of business performance and develop relevant reporting structure
Optimize our KPI dashboard
Synthesize performance trends and business performance
Identify and highlight opportunities for performance improvement
Communicate the business performance to the management and other stakeholders
Analytical support
Drive strategic analysis and provide recommendations for ad hoc requests, both from within the team and externally
Forecasting and Planning
Develop business forecast based business insights to identify business gaps on monthly basis
Develop Annual performance target based on Marketing strategies
Work with product teams to ensure that the right KPIs and targets have been set
Key Experiences and Qualifications:
Working knowledge of SQL, Google BigQuery, Tableau and Advanced Excel. Python preferred but not mandatory
Professional degree in finance / business / marketing related, Business planning and performance background
Minimum 8 - 10 years of working experience in a similar role.
Have a solid track record of reliably monitoring performance metrics
Skills:
Outstanding degree in business, economics or a quantitative field. Ideally, first hand experience in Business Intelligence, Controlling or other relevant fields
True number-cruncher and understanding of statistics and mathematics
Fundamental understanding of e-commerce/e-marketplace
Highly organized and able to work on multiple projects in a self-structured and well-prioritized way
Driven, proactive, and self-motivated to be able to work with minimal supervision
Strong interpersonal skills to communicate well with people from all backgrounds and departments
Willing to learn about new concepts and methodologies in this constantly evolving industry
Excellent at Excel and data visualization as well as writing SQL
Knowledge of data science and statistical modeling skills is a plus
Experienced in project management is a plus
What We Offer:
A team that you will learn from and an environment that wants to grow your professional skill-set
Opportunity to work in an international multi-cultural environment
A great working atmosphere with regular company and team events
Responsibility from day one in a fast growing and global company
Promotion and career opportunities
Benefits include free drinks, fresh fruits, and cereals and of course, food!",3.5,foodpanda Malaysia,Kuala Lumpur,1001 to 5000 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,8,1,1,1,0,0,1,data scientist,na,3508
